2015-05-18 16:04:20,891 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:04:20,892 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:04:20,895 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:04:20,895 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:04:57,658 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:04:57,659 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:04:57,662 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:04:57,663 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:10:57,287 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:10:57,289 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:10:57,296 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:10:57,296 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:11:17,856 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:11:17,858 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:11:17,863 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:11:17,863 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:11:34,633 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:11:34,634 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:11:34,638 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:11:34,639 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:31:46,219 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:31:46,220 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:31:46,224 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:31:46,225 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:32:24,856 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:32:24,857 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:32:24,870 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:32:24,871 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:33:11,442 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:33:11,443 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:33:11,448 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:33:11,449 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:33:19,023 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:33:19,024 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:33:19,027 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:33:19,028 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:33:38,282 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:33:38,283 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:33:38,287 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:33:38,288 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:37:45,137 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:37:45,138 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:37:45,141 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:37:45,141 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:37:57,194 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:37:57,195 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:37:57,199 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:37:57,200 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:39:19,327 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:39:19,329 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:39:19,337 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:39:19,337 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:39:33,305 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:39:33,306 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:39:33,310 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:39:33,311 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:40:17,816 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:40:17,817 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:40:17,822 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:40:17,823 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:40:25,730 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:40:25,731 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:40:25,734 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:40:25,735 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:40:48,821 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:40:48,822 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:40:48,827 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:40:48,827 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:52:20,991 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:21,011 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-18 16:52:21,023 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:21,025 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:52:27,787 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:27,795 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 16:52:27,836 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:27,837 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:52:41,229 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:41,231 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-05-18 16:52:41,235 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:41,235 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 16:52:55,770 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:55,773 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 10 resources
2015-05-18 16:52:55,783 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 16:52:55,784 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 17:02:04,391 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 17:02:04,393 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 17:02:04,398 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 17:02:04,398 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 17:03:59,653 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 17:03:59,655 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 17:03:59,659 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 17:03:59,660 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 17:04:54,733 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 17:04:54,738 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 17:04:54,747 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 17:04:54,750 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/esteban/DesAp-201501-GrupoB/desapp-groupb-backend/src/test/resources
2015-05-18 17:05:36,323 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-18 17:05:36,326 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-05-18 17:05:36,331 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
